date,vwretd,ewretd
2009-12-31,0.028475,0.055001
2010-01-29,-0.037172,-0.011388
2010-02-26,0.034744,0.033603
2010-03-31,0.063668,0.069289
2010-04-30,0.020036,0.057844
2010-05-28,-0.07924,-0.076929
2010-06-30,-0.05078,-0.056799
2010-07-30,0.07036,0.05994
2010-08-31,-0.042863,-0.047566
2010-09-30,0.091628,0.096402
2010-10-29,0.038591,0.040681
2010-11-30,0.005117,0.010736
2010-12-31,0.067182,0.068851
2011-01-31,0.019183,0.014412
2011-02-28,0.038156,0.037036
2011-03-31,0.003341,0.008605
2011-04-29,0.028597,0.019203
2011-05-31,-0.014948,-0.01855
2011-06-30,-0.018447,-0.024106
2011-07-29,-0.022534,-0.021813
2011-08-31,-0.057564,-0.075715
2011-09-30,-0.084983,-0.10092
2011-10-31,0.114146,0.107697
2011-11-30,-0.00627,-0.020645
2011-12-30,0.003676,-0.003561
2012-01-31,0.054106,0.085342
2012-02-29,0.041225,0.036494
2012-03-30,0.02402,0.017608
2012-04-30,-0.006829,-0.009106
2012-05-31,-0.06559,-0.068418
2012-06-29,0.038151,0.034188
2012-07-31,0.010307,-0.003281
2012-08-31,0.026317,0.024819
2012-09-28,0.026513,0.034925
2012-10-31,-0.014055,-0.013477
2012-11-30,0.006217,0.00279
2012-12-31,0.012569,0.021872
2013-01-31,0.054142,0.063509
2013-02-28,0.008282,0.003491
2013-03-28,0.035295,0.031419
2013-04-30,0.014939,0.002477
2013-05-31,0.019128,0.023985
2013-06-28,-0.015072,-0.013012
2013-07-31,0.052658,0.054898
2013-08-30,-0.02575,-0.017278
2013-09-30,0.037497,0.051828
2013-10-31,0.039889,0.025762
2013-11-29,0.024956,0.023398
2013-12-31,0.02614,0.02524
2014-01-31,-0.03002,-0.001282
2014-02-28,0.046198,0.044257
2014-03-31,0.00454,0.001028
2014-04-30,0.001573,-0.022319
2014-05-30,0.020254,0.006647
2014-06-30,0.027973,0.039501
2014-07-31,-0.020555,-0.035223
2014-08-29,0.040205,0.033697
2014-09-30,-0.025196,-0.044988
2014-10-31,0.021164,0.014199
2014-11-28,0.021104,-0.002458
2014-12-31,-0.003659,-0.000189
2015-01-30,-0.027163,-0.019073
2015-02-27,0.055915,0.05412
2015-03-31,-0.010397,-0.005112
2015-04-30,0.008766,0.015127
2015-05-29,0.010277,0.00397
2015-06-30,-0.019231,-0.013459
2015-07-31,0.012108,-0.02713
2015-08-31,-0.059926,-0.047295
2015-09-30,-0.033756,-0.049906
2015-10-30,0.073937,0.052851
2015-11-30,0.002404,0.007326
2015-12-31,-0.022209,-0.03586
2016-01-29,-0.057085,-0.074934
2016-02-29,0.00062,0.005564
2016-03-31,0.070491,0.078181
2016-04-29,0.011718,0.039818
2016-05-31,0.01434,-0.000584
2016-06-30,0.002947,0.005847
2016-07-29,0.038815,0.0499
2016-08-31,0.0028,0.012873
2016-09-30,0.003013,0.015368
2016-10-31,-0.021544,-0.03993
2016-11-30,0.040488,0.050508
2016-12-30,0.018763,0.015897
2017-01-31,0.022153,0.025937
2017-02-28,0.032598,0.017121
2017-03-31,0.002062,0.006378
2017-04-28,0.009655,0.003709
2017-05-31,0.009335,-0.011301
2017-06-30,0.009571,0.02296
2017-07-31,0.020277,0.009082
2017-08-31,0.0016,-0.008726
2017-09-29,0.023729,0.046845
2017-10-31,0.019275,0.002239
2017-11-30,0.027232,0.020843
